Quarter,Total,Mortgage,Consumer
2005:1,14.8,7.5,7.3
2005:2,14.83,7.59,7.24
2005:3,15.14,7.88,7.26
2005:4,15.03,7.72,7.31
2006:1,14.99,7.9,7.09
2006:2,15.04,8.11,6.94
2006:3,15.37,8.34,7.03
2006:4,15.51,8.46,7.05
2007:1,15.53,8.55,6.98
2007:2,15.63,8.72,6.92
2007:3,15.71,8.85,6.86
2007:4,15.85,8.95,6.89
2008:1,15.78,8.91,6.86
2008:2,15.33,8.62,6.7
2008:3,15.55,8.76,6.79
2008:4,15.72,8.83,6.9
2009:1,15.6,8.74,6.86
2009:2,15.25,8.55,6.71
2009:3,15.09,8.41,6.68
2009:4,14.9,8.3,6.6
2010:1,14.51,8.14,6.38
2010:2,14.07,7.93,6.14
2010:3,13.92,7.85,6.07
2010:4,13.58,7.57,6.01
2011:1,13.31,7.5,5.81
2011:2,13.06,7.38,5.68
2011:3,12.94,7.21,5.74
2011:4,12.75,7.06,5.69
2012:1,12.24,6.81,5.43
2012:2,12.03,6.68,5.35
2012:3,12.08,6.62,5.46
2012:4,11.75,6.41,5.35
2013:1,12.01,6.52,5.49
2013:2,11.79,6.41,5.39
2013:3,11.84,6.37,5.47
2013:4,11.99,6.4,5.58
2014:1,11.88,6.38,5.5
2014:2,11.62,6.22,5.4
2014:3,11.65,6.23,5.42
2014:4,11.63,6.15,5.49
2015:1,11.56,6.12,5.44
2015:2,11.49,6.02,5.46
2015:3,11.61,6.05,5.55
2015:4,11.74,6.03,5.71
2016:1,11.76,6.09,5.67
2016:2,11.77,6.07,5.7
2016:3,11.77,5.99,5.78
2016:4,11.87,5.99,5.88
2017:1,11.72,5.98,5.74
2017:2,11.76,5.97,5.79
2017:3,11.82,5.98,5.84
2017:4,11.82,5.94,5.87
2018:1,11.64,5.92,5.72
2018:2,11.6,5.88,5.71
2018:3,11.62,5.91,5.71
2018:4,11.67,5.92,5.75
2019:1,11.5,5.84,5.66
2019:2,11.63,5.93,5.69
2019:3,11.65,5.9,5.75
2019:4,11.73,5.92,5.81
2020:1,11.59,5.91,5.67
2020:2,9.74,5.03,4.71
2020:3,10.07,5.22,4.85
2020:4,10.4,5.41,5.0
2021:1,9.08,4.78,4.31
2021:2,9.89,5.22,4.66
2021:3,10.06,5.32,4.74
2021:4,10.28,5.46,4.82
2022:1,10.51,5.65,4.86
2022:2,10.72,5.71,5.01
2022:3,10.6,5.6,5.0
2022:4,10.78,5.65,5.13
2023:1,10.64,5.62,5.02
2023:2,10.68,5.59,5.08
2023:3,10.87,5.68,5.19
2023:4,11.23,5.7,5.53
2024:1,11.16,5.71,5.45
2024:2,11.16,5.77,5.39
2024:3,11.31,5.83,5.48
2024:4,11.28,5.77,5.51
